;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trade Date;No. of;Average;No. of;Average;O/S *;O/S *;Total Issue;Trading;Day;Day;Closing;Volume;Turn-;Issuer;UL;Bull;CBBC;CBBC;Listing;Last Trading Date;Maturity;MCE;Strike/Call;Strike Level;Call;Ent.;Delisting
;CBBC;price *;CBBC;price *;;(%);Size *;Currency;High;Low;Price;('000);over;;;/Bear;Type;Category;Date;;Date;;Currency;;Level;Ratio^;Date **
;Bought *;;Sold *;;;;;;;;;;('000);;;;;;;;;;;;;;
22.11.2024;0;0.000000;-130;(0.225308);140;0.07;200,000,000;HKD;0.228;0.221;0.226;130;29;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
21.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.265;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
20.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.265;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
19.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.260;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
18.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.255;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
15.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.248;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
14.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.247;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
13.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.285;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
12.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.285;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
11.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.340;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
08.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.375;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
07.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.385;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
06.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.345;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
05.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.385;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
04.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.340;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
01.11.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.340;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
31.10.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.340;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
30.10.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.340;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
29.10.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.365;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
28.10.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.360;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
25.10.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.355;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;-
24.10.2024;0;0.000000;0;0.000000;10;0.01;200,000,000;HKD;0.000;0.000;0.350;0;0;HS;HSI;Bull;Standard;R;20.09.2024;-;30.08.2027;No;-;16888;16988;10000;
