Trade Date;No. of;Average;No. of;Average;O/S *;O/S *;Total Issue;Trading;Day;Day;Closing;Volume;Turn-;Issuer;UL;Bull;CBBC;CBBC;Listing;Last Trading Date;Maturity;MCE;Strike/Call;Strike Level;Call;Ent.;Delisting
;CBBC;price *;CBBC;price *;;(%);Size *;Currency;High;Low;Price;('000);over;;;/Bear;Type;Category;Date;;Date;;Currency;;Level;Ratio^;Date **
;Bought *;;Sold *;;;;;;;;;;('000);;;;;;;;;;;;;;
30.09.2024;0;0.000000;0;0.000000;10,230,000;июн.82;150,000,000;HKD;0.000;0.000;0.013;0;0;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
27.09.2024;10,500,000;0.012953;-380;(0.015000);10,230,000;июн.82;150,000,000;HKD;0.015;0.012;0.013;10,94;143;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
26.09.2024;1,490,000;0.017644;-10;(0.018000);20,350,000;13.57;150,000,000;HKD;0.018;0.015;0.015;1,7;30;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
25.09.2024;0;0.000000;-320;(0.014938);21,830,000;14.55;150,000,000;HKD;0.015;0.014;0.014;1,35;19;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
24.09.2024;760;0.014000;-110;(0.015818);21,510,000;14.34;150,000,000;HKD;0.016;0.014;0.014;1,02;15;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
23.09.2024;1,340,000;0.014284;-170;(0.017000);22,160,000;14.77;150,000,000;HKD;0.017;0.014;0.017;1,94;28;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
20.09.2024;5,410,000;0.017871;-860;(0.018000);23,330,000;15.55;150,000,000;HKD;0.018;0.017;0.018;6,3;113;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
19.09.2024;1,790,000;0.023313;(1,220,000);(0.023180);27,880,000;18.59;150,000,000;HKD;0.027;0.022;0.022;3,01;70;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
17.09.2024;12,760,000;0.025592;-740;(0.025743);28,450,000;18.97;150,000,000;HKD;0.027;0.025;0.025;16,21;416;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
16.09.2024;240;0.029000;(3,570,000);(0.030000);40,470,000;26.98;150,000,000;HKD;0.030;0.029;0.030;4,05;121;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
13.09.2024;1,400,000;0.035964;(3,920,000);(0.035352);37,140,000;24.76;150,000,000;HKD;0.037;0.035;0.036;5,33;189;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
12.09.2024;220;0.040909;(7,670,000);(0.041966);34,620,000;23.авг;150,000,000;HKD;0.043;0.040;0.041;7,98;335;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
11.09.2024;20;0.048000;-970;(0.048526);27,170,000;18.ноя;150,000,000;HKD;0.049;0.048;0.048;1,04;50;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
10.09.2024;0;0.000000;(5,830,000);(0.044017);26,220,000;17.48;150,000,000;HKD;0.045;0.044;0.043;5,83;257;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
09.09.2024;12,120,000;0.050318;-350;(0.050143);20,390,000;13.59;150,000,000;HKD;0.051;0.048;0.048;12,47;627;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
05.09.2024;200;0.040000;(1,690,000);(0.039207);32,160,000;21.44;150,000,000;HKD;0.041;0.039;0.039;1,89;74;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
04.09.2024;3,060,000;0.041095;(7,580,000);(0.043842);30,670,000;20.45;150,000,000;HKD;0.044;0.041;0.041;10,64;458;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
03.09.2024;500;0.027800;-250;(0.028000);26,150,000;17.43;150,000,000;HKD;0.028;0.027;0.028;800;22;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
02.09.2024;1,980,000;0.026899;(4,610,000);(0.027681);26,400,000;17.60;150,000,000;HKD;0.029;0.026;0.029;6,59;181;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
30.08.2024;100;0.030000;(1,860,000);(0.031371);23,770,000;15.85;150,000,000;HKD;0.032;0.030;0.030;2,36;74;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
29.08.2024;2,020,000;0.033896;-450;(0.034111);22,010,000;14.67;150,000,000;HKD;0.035;0.033;0.033;2,51;85;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
28.08.2024;0;0.000000;-960;(0.033104);23,580,000;15.72;150,000,000;HKD;0.034;0.033;0.033;960;32;SG;DJI;Bear;Standard;R;03.01.2024;30.09.2024;20.06.2025;Yes;-;42850;42500;312000;02.10.2024
